Date,Value
2014-09-11,959.16
2014-09-10,968.53
2014-09-09,972.36
2014-09-08,972.31
2014-09-05,976.97
2014-09-04,980.6
2014-09-03,963.27
2014-09-02,965.52
2014-09-01,979.3
2014-08-29,976.12
2014-08-28,980.61
2014-08-27,971.56
2014-08-26,973.98
2014-08-25,967.72
2014-08-22,965.31
2014-08-21,959.92
2014-08-20,974.6
2014-08-19,973.42
2014-08-18,970.37
2014-08-15,968.39
2014-08-14,981.65
2014-08-13,980.53
2014-08-12,985.03
2014-08-11,976.47
2014-08-08,976.37
2014-08-07,977.61
2014-08-06,978.18
2014-08-05,960.96
2014-08-04,961.66
2014-08-01,961.54
2014-07-31,960.58
2014-07-30,967.6
2014-07-29,968.79
2014-07-28,970.65
2014-07-25,963.86
2014-07-24,959.8
2014-07-23,971.52
2014-07-22,972.9
2014-07-21,970.01
2014-07-18,967.65
2014-07-17,963.53
2014-07-16,961.18
2014-07-15,965.4
2014-07-14,958.39
2014-07-11,981.69
2014-07-10,985.41
2014-07-09,969.72
2014-07-08,971.79
2014-07-07,965.73
2014-07-04,970.82
2014-07-03,968.04
2014-07-02,971.47
2014-07-01,970.43
2014-06-30,960.45
2014-06-27,965.87
2014-06-26,965.27
2014-06-25,965.82
2014-06-24,969.74
2014-06-23,966.34
2014-06-20,966.82
2014-06-19,948.5
2014-06-18,935.57
2014-06-17,935.84
2014-06-16,940.46
2014-06-13,940.98
2014-06-12,934.03
2014-06-11,932.54
2014-06-10,929.83
2014-06-09,922.17
2014-06-06,914.66
2014-06-05,919.94
2014-06-04,914.18
2014-06-03,912.41
2014-06-02,916.59
2014-05-30,916.42
2014-05-29,921.74
2014-05-28,929.22
2014-05-27,936.87
2014-05-26,946.05
2014-05-23,947.44
2014-05-22,950.83
2014-05-21,942.04
2014-05-20,945.93
2014-05-19,949.01
2014-05-16,942.39
2014-05-15,947.03
2014-05-14,952.01
2014-05-13,945.9
2014-05-12,944.17
2014-05-09,938.65
2014-05-08,928.37
2014-05-07,930.87
2014-05-06,937.52
2014-05-05,923.19
2014-05-02,924.06
2014-05-01,922.07
2014-04-30,929.28
2014-04-29,939.21
2014-04-28,938.28
2014-04-25,940.38
2014-04-24,934.55
2014-04-23,929.35
2014-04-22,932.66
2014-04-21,941.03
2014-04-18,938.89
2014-04-17,938.89
2014-04-16,942.67
2014-04-15,938.95
2014-04-14,959.61
2014-04-11,949.06
2014-04-10,951.3
2014-04-09,941.63
2014-04-08,949.29
2014-04-07,945.28
2014-04-04,947.35
2014-04-03,936.1
2014-04-02,938.41
2014-04-01,930.62
2014-03-31,937.24
2014-03-28,941.47
2014-03-27,943.27
2014-03-26,945.92
2014-03-25,953.37
2014-03-24,950.96
2014-03-21,969.35
