,Date,Volume (BTC)
423,2016-08-27,2702.58036182
424,2016-08-28,1034.07669959
425,2016-08-29,2333.00891707
426,2016-08-30,4439.35420543
427,2016-08-31,3917.82520705
428,2016-09-01,2833.21048959
429,2016-09-02,2996.65467508
430,2016-09-03,4645.77734019
431,2016-09-04,3951.19879148
432,2016-09-05,3838.1755876
433,2016-09-06,4038.33754573
434,2016-09-07,4502.71072652
435,2016-09-08,4354.95251639
436,2016-09-09,3274.07565086
437,2016-09-10,1527.83753513
438,2016-09-11,5336.9515717
439,2016-09-12,3512.28237051
440,2016-09-13,3471.52717479
441,2016-09-14,2895.4604519
442,2016-09-15,3085.66694768
443,2016-09-16,2612.88007635
444,2016-09-17,1117.48707654
445,2016-09-18,1307.05511292
446,2016-09-19,2476.59039745
447,2016-09-20,2680.44760563
448,2016-09-21,3671.19191264
449,2016-09-22,2421.45482616
450,2016-09-23,4007.88275861
451,2016-09-24,1140.23303781
452,2016-09-25,1086.83579854
453,2016-09-26,4056.39371551
454,2016-09-27,3055.81637038
455,2016-09-28,2202.74962821
456,2016-09-29,2718.01919323
457,2016-09-30,2633.44489285
458,2016-10-01,1458.84374513
459,2016-10-02,1407.0592925
460,2016-10-03,2245.89234656
461,2016-10-04,2955.42383816
462,2016-10-05,2410.92611361
463,2016-10-06,2039.82035671
464,2016-10-07,4033.82185438
465,2016-10-08,888.66002111
466,2016-10-09,1174.26113887
467,2016-10-10,2295.52302846
468,2016-10-11,8087.31933662
469,2016-10-12,2658.52776787
470,2016-10-13,2381.50067975
471,2016-10-14,3154.82335026
472,2016-10-15,1421.85361066
473,2016-10-16,1289.53724609
474,2016-10-17,3958.0365344000006
475,2016-10-18,2731.17634977
476,2016-10-19,4472.89998392
477,2016-10-20,2040.00987473
478,2016-10-21,3050.50932903
479,2016-10-22,4351.61947818
480,2016-10-23,2535.01019265
481,2016-10-24,4679.0014143
482,2016-10-25,6106.91617897
483,2016-10-26,6716.23146341
484,2016-10-27,4545.43620804
485,2016-10-28,3574.07546814
486,2016-10-29,4034.88400838
487,2016-10-30,3752.5253719
488,2016-10-31,4655.89251212
489,2016-11-01,6570.01885443
490,2016-11-02,4320.53171915
491,2016-11-03,12102.2427314
492,2016-11-04,5345.6792147
493,2016-11-05,1918.31151101
494,2016-11-06,2292.8635227
495,2016-11-07,3020.87240328
496,2016-11-08,5526.47459343
497,2016-11-09,9726.2512339
498,2016-11-10,4996.45256408
499,2016-11-11,3328.33076179
500,2016-11-12,2811.55106984
501,2016-11-13,6023.54902216
502,2016-11-14,7566.58050969
503,2016-11-15,5668.93994884
504,2016-11-16,11585.045418200001
505,2016-11-17,6681.43151549
506,2016-11-18,4271.04146281
507,2016-11-19,1965.43652251
508,2016-11-20,5525.9596111
509,2016-11-21,4017.57762466
510,2016-11-22,5034.70408511
511,2016-11-23,4462.77871527
512,2016-11-24,4039.81535353
513,2016-11-25,3356.08903132
514,2016-11-26,2314.57662144
515,2016-11-27,3447.86947559
516,2016-11-28,4741.11519229
517,2016-11-29,5406.90035323
518,2016-11-30,6249.618523
519,2016-12-01,6124.50185948
520,2016-12-02,8098.57532493
521,2016-12-03,2772.66124771
522,2016-12-04,3215.68481818
523,2016-12-05,5567.77285717
524,2016-12-06,6763.73852485
525,2016-12-07,4809.70777587
526,2016-12-08,4892.93925488
527,2016-12-09,2868.41656863
528,2016-12-10,2200.70812765
529,2016-12-11,1421.13041748
530,2016-12-12,2805.19133166
531,2016-12-13,4918.81400706
532,2016-12-14,2333.38039481
533,2016-12-15,3039.82232695
534,2016-12-16,3475.77113231
535,2016-12-17,2389.76188083
536,2016-12-18,2519.24374939
537,2016-12-19,3917.87027522
538,2016-12-20,4118.69350463
539,2016-12-21,9391.36496102
540,2016-12-22,12070.3532609
541,2016-12-23,16526.628796700003
542,2016-12-24,6026.45470401
543,2016-12-25,4658.23642176
544,2016-12-26,3467.54622755
