,Date,Daily Closing Price
203,2016-01-20,416.32
204,2016-01-21,409.59
205,2016-01-22,382.55
206,2016-01-23,386.4
207,2016-01-24,402.16
208,2016-01-25,390.9
209,2016-01-26,391.77
210,2016-01-27,394.95
211,2016-01-28,379.75
212,2016-01-29,378.22
213,2016-01-30,375.64
214,2016-01-31,368.49
215,2016-02-01,371.81
216,2016-02-02,373.05
217,2016-02-03,368.38
218,2016-02-04,387.82
219,2016-02-05,385.0
220,2016-02-06,375.39
221,2016-02-07,375.0
222,2016-02-08,370.91
223,2016-02-09,373.2
224,2016-02-10,379.66
225,2016-02-11,377.98
226,2016-02-12,383.27
227,2016-02-13,390.99
228,2016-02-14,405.0
229,2016-02-15,399.28
230,2016-02-16,407.51
231,2016-02-17,415.54
232,2016-02-18,421.18
233,2016-02-19,419.54
234,2016-02-20,434.63
235,2016-02-21,438.5
236,2016-02-22,438.27
237,2016-02-23,419.1
238,2016-02-24,423.78
239,2016-02-25,423.51
240,2016-02-26,432.0
241,2016-02-27,431.07
242,2016-02-28,431.68
243,2016-02-29,435.23
244,2016-03-01,432.5
245,2016-03-02,423.45
246,2016-03-03,420.29
247,2016-03-04,408.01
248,2016-03-05,399.83
249,2016-03-06,406.23
250,2016-03-07,414.01
251,2016-03-08,411.75
252,2016-03-09,413.0
253,2016-03-10,416.0
254,2016-03-11,419.13
255,2016-03-12,410.9
256,2016-03-13,413.04
257,2016-03-14,414.99
258,2016-03-15,415.85
259,2016-03-16,416.57
260,2016-03-17,418.49
261,2016-03-18,407.91
262,2016-03-19,409.04
263,2016-03-20,411.28
264,2016-03-21,411.67
265,2016-03-22,416.64
266,2016-03-23,417.62
267,2016-03-24,415.17
268,2016-03-25,415.7
269,2016-03-26,416.96
270,2016-03-27,424.77
271,2016-03-28,422.87
272,2016-03-29,415.95
273,2016-03-30,413.74
274,2016-03-31,414.66
275,2016-04-01,416.31
276,2016-04-02,419.0
277,2016-04-03,419.11
278,2016-04-04,418.75
279,2016-04-05,422.71
280,2016-04-06,421.03
281,2016-04-07,420.0
282,2016-04-08,417.75
283,2016-04-09,418.24
284,2016-04-10,420.04
285,2016-04-11,422.69
286,2016-04-12,425.54
287,2016-04-13,423.93
288,2016-04-14,424.86
289,2016-04-15,429.45
290,2016-04-16,430.69
291,2016-04-17,427.42
292,2016-04-18,428.14
293,2016-04-19,435.63
294,2016-04-20,442.13
295,2016-04-21,451.0
296,2016-04-22,447.7
297,2016-04-23,451.92
298,2016-04-24,460.02
299,2016-04-25,462.33
300,2016-04-26,467.42
301,2016-04-27,445.38
302,2016-04-28,449.14
303,2016-04-29,456.53
304,2016-04-30,448.37
305,2016-05-01,453.0
306,2016-05-02,444.06
307,2016-05-03,450.61
308,2016-05-04,446.63
309,2016-05-05,448.5
310,2016-05-06,458.48
311,2016-05-07,458.07
312,2016-05-08,458.21
313,2016-05-09,460.82
314,2016-05-10,451.62
315,2016-05-11,452.91
316,2016-05-12,455.2
317,2016-05-13,455.91
318,2016-05-14,455.57
319,2016-05-15,457.56
320,2016-05-16,454.0
321,2016-05-17,453.08
322,2016-05-18,452.92
323,2016-05-19,436.3
324,2016-05-20,442.72
325,2016-05-21,443.31
