,Date,Volume (Currency)
471,2016-10-14,2003219.14236
472,2016-10-15,908251.542914
473,2016-10-16,823539.547904
474,2016-10-17,2516207.27874
475,2016-10-18,1735476.5578299998
476,2016-10-19,2824080.05221
477,2016-10-20,1280448.67744
478,2016-10-21,1919969.05372
479,2016-10-22,2812594.61698
480,2016-10-23,1651700.19238
481,2016-10-24,3027622.0257200003
482,2016-10-25,3982507.6667199996
483,2016-10-26,4466380.41083
484,2016-10-27,3090089.92937
485,2016-10-28,2446577.6396
486,2016-10-29,2839203.5710299998
487,2016-10-30,2630802.80167
488,2016-10-31,3246833.12744
489,2016-11-01,4746887.11799
490,2016-11-02,3133467.19096
491,2016-11-03,8620853.87538
492,2016-11-04,3725359.6483400003
493,2016-11-05,1346262.96493
494,2016-11-06,1620784.56078
495,2016-11-07,2123754.4794400004
496,2016-11-08,3905868.36335
497,2016-11-09,7081641.534089999
498,2016-11-10,3570538.7438300005
499,2016-11-11,2382869.95989
500,2016-11-12,1988237.3207
501,2016-11-13,4174451.2359599997
502,2016-11-14,5302237.1858
503,2016-11-15,4030616.40085
504,2016-11-16,8443845.51549
505,2016-11-17,4971520.49486
506,2016-11-18,3180459.4411400002
507,2016-11-19,1470296.8123
508,2016-11-20,4046316.48223
509,2016-11-21,2948982.13323
510,2016-11-22,3735123.7523199995
511,2016-11-23,3298351.60887
512,2016-11-24,2967466.38606
513,2016-11-25,2459029.19825
514,2016-11-26,1685262.2965799998
515,2016-11-27,2508288.0484599997
516,2016-11-28,3457223.0035599996
517,2016-11-29,3944721.68364
518,2016-11-30,4608044.8797699995
519,2016-12-01,4590130.14859
520,2016-12-02,6209209.26243
521,2016-12-03,2114389.5578
522,2016-12-04,2440424.84327
523,2016-12-05,4175776.96781
524,2016-12-06,5108421.85896
525,2016-12-07,3665122.07755
526,2016-12-08,3758555.43185
527,2016-12-09,2209620.28785
528,2016-12-10,1700155.0152399999
529,2016-12-11,1090977.4246399999
530,2016-12-12,2174538.22774
531,2016-12-13,3828369.0811400004
532,2016-12-14,1812395.3352299999
533,2016-12-15,2360816.75255
534,2016-12-16,2706428.28212
535,2016-12-17,1878367.31148
536,2016-12-18,1983165.3657099998
537,2016-12-19,3100648.86355
538,2016-12-20,3267705.40129
539,2016-12-21,7667888.810819999
540,2016-12-22,10331509.7292
541,2016-12-23,14837057.9635
542,2016-12-24,5425021.87972
543,2016-12-25,4071449.1611
544,2016-12-26,3117208.4180400004
545,2016-12-27,6665199.06831
546,2016-12-28,11744311.237
547,2016-12-29,7599251.051860001
548,2016-12-30,10228764.2361
549,2016-12-31,3978648.14783
550,2017-01-01,6764742.05545
551,2017-01-02,8273576.98525
552,2017-01-03,9276500.30587
553,2017-01-04,23469644.9606
554,2017-01-05,36211399.5269
555,2017-01-06,25523261.2784
556,2017-01-07,17624310.0238
557,2017-01-08,8168170.348180001
558,2017-01-09,7780059.0628
559,2017-01-10,7704271.19995
560,2017-01-11,29459968.9011
561,2017-01-12,13632251.4431
562,2017-01-13,9224729.89012
563,2017-01-14,5470214.991769999
564,2017-01-15,3455365.8712
565,2017-01-16,5107031.212180001
566,2017-01-17,10775497.8647
567,2017-01-18,9830117.653789999
568,2017-01-19,9929647.20053
569,2017-01-20,5915865.4867
570,2017-01-21,5373391.08422
571,2017-01-22,6569177.19246
572,2017-01-23,3234454.30326
573,2017-01-24,8495975.457530001
574,2017-01-25,4725942.37301
575,2017-01-26,4688102.25271
576,2017-01-27,4433746.38119
577,2017-01-28,1078884.52226
578,2017-01-29,1234746.08175
579,2017-01-30,2865063.7274
580,2017-01-31,9024041.550239999
581,2017-02-01,6748543.96725
582,2017-02-02,8222686.79034
583,2017-02-03,11029881.3044
584,2017-02-04,5884560.60284
585,2017-02-05,4417546.50579
586,2017-02-06,5188721.522580001
587,2017-02-07,5605838.10668
588,2017-02-08,10072826.835
589,2017-02-09,25064862.0643
590,2017-02-10,10491584.3702
591,2017-02-11,4509154.726419999
592,2017-02-12,2690265.3698299997
593,2017-02-13,4522130.77969
594,2017-02-14,6806110.34205
595,2017-02-15,3123812.21502
596,2017-02-16,6170238.8589
597,2017-02-17,6386285.1609
598,2017-02-18,4745831.61165
599,2017-02-19,2388775.4121
600,2017-02-20,3902660.35374
601,2017-02-21,9273663.17745
602,2017-02-22,13146726.039
603,2017-02-23,13558056.0275
604,2017-02-24,23023500.2032
605,2017-02-25,7226444.769560001
606,2017-02-26,4127618.08321
607,2017-02-27,5511306.89707
608,2017-02-28,9017082.51467
609,2017-03-01,7276140.32797
610,2017-03-02,9679539.505560001
611,2017-03-03,9615648.420260001
612,2017-03-04,6237601.90255
613,2017-03-05,3809526.4355300004
614,2017-03-06,5420772.93281
615,2017-03-07,17887749.609
616,2017-03-08,15905595.4481
617,2017-03-09,9019820.317780001
618,2017-03-10,38830456.2918
619,2017-03-11,8529224.30265
620,2017-03-12,7003314.4062
621,2017-03-13,6963555.13551
622,2017-03-14,7156458.54737
623,2017-03-15,4920843.35598
624,2017-03-16,18265147.5609
625,2017-03-17,18711161.7932
626,2017-03-18,21545879.4107
627,2017-03-19,12333561.0075
628,2017-03-20,7764665.808569999
629,2017-03-21,12068049.7199
630,2017-03-22,15061002.6279
631,2017-03-23,6134595.7528
632,2017-03-24,15697051.6813
633,2017-03-25,12469646.9467
634,2017-03-26,8743359.973210001
635,2017-03-27,8753826.091669999
636,2017-03-28,9538479.5453
637,2017-03-29,9675900.397780001
638,2017-03-30,8919386.178639999
639,2017-03-31,12711331.6219
640,2017-04-01,5617315.774569999
641,2017-04-02,8274688.322919999
642,2017-04-03,12487637.6295
643,2017-04-04,8471842.703569999
644,2017-04-05,6299621.44774
645,2017-04-06,10690571.4343
646,2017-04-07,6486716.49642
647,2017-04-08,3224244.36142
648,2017-04-09,5764973.9073
649,2017-04-10,4416613.8669300005
650,2017-04-11,4229830.76308
651,2017-04-12,4224875.8027099995
652,2017-04-13,8410788.791819999
653,2017-04-14,10475652.876
654,2017-04-15,2128067.8193
655,2017-04-16,3094769.4637700003
656,2017-04-17,4210491.80989
657,2017-04-18,6636782.79318
658,2017-04-19,7247878.76326
659,2017-04-20,7302307.33493
660,2017-04-21,6236859.58189
661,2017-04-22,5126960.21473
662,2017-04-23,3219987.14271
663,2017-04-24,3788507.31897
664,2017-04-25,6651231.26536
665,2017-04-26,11266221.1625
666,2017-04-27,8810060.90602
667,2017-04-28,10882526.4003
668,2017-04-29,5226089.4466699995
669,2017-04-30,4718587.8143
670,2017-05-01,11923132.2236
671,2017-05-02,12836209.7667
672,2017-05-03,16380266.8432
673,2017-05-04,30115422.5808
674,2017-05-05,24257672.4976
675,2017-05-06,12179087.2645
676,2017-05-07,11809645.3343
677,2017-05-08,30652223.0569
678,2017-05-09,28741490.6425
679,2017-05-10,19697560.663
680,2017-05-11,26997283.1085
681,2017-05-12,29856372.5419
682,2017-05-13,17797259.4555
683,2017-05-14,8585557.3932
684,2017-05-15,22951575.7929
685,2017-05-16,28255380.0189
686,2017-05-17,31598676.8747
687,2017-05-18,21766168.1252
688,2017-05-19,27218796.9176
689,2017-05-20,24248476.4862
690,2017-05-21,13647083.7418
691,2017-05-22,34535101.5331
692,2017-05-23,31139771.5235
693,2017-05-24,52782234.6848
694,2017-05-25,83028907.0488
695,2017-05-26,66466402.5824
696,2017-05-27,54113571.7812
697,2017-05-28,33655092.7193
698,2017-05-29,27376000.7138
699,2017-05-30,31434633.5759
700,2017-05-31,36862481.1261
701,2017-06-01,43990417.8713
702,2017-06-02,30186115.4552
703,2017-06-03,27295110.6448
704,2017-06-04,22263365.0539
705,2017-06-05,31919212.3172
706,2017-06-06,75249106.7769
707,2017-06-07,47205426.4401
708,2017-06-08,36430027.3017
709,2017-06-09,22701156.2423
710,2017-06-10,27434766.1166
711,2017-06-11,19889995.6813
712,2017-06-12,85799286.223
713,2017-06-13,44217458.2013
714,2017-06-14,76114991.857
715,2017-06-15,84952914.5602
716,2017-06-16,33831741.3431
717,2017-06-17,28569796.4066
718,2017-06-18,24023680.6646
719,2017-06-19,27011860.5064
720,2017-06-20,42538164.7421
721,2017-06-21,42304860.3098
722,2017-06-22,28955845.8582
723,2017-06-23,22348019.565
724,2017-06-24,34944802.7273
725,2017-06-25,26249953.8896
726,2017-06-26,54096000.6527
727,2017-06-27,45774590.046000004
728,2017-06-28,31106035.7674
729,2017-06-29,20771078.3353
730,2017-06-30,21948643.0308
731,2017-07-01,21750491.237
732,2017-07-02,21386273.6839
733,2017-07-03,29213705.7379
734,2017-07-04,25107482.8802
735,2017-07-05,27950344.700999998
736,2017-07-06,21529601.7109
737,2017-07-07,23870564.3605
738,2017-07-08,13584489.5168
739,2017-07-09,11362427.9698
740,2017-07-10,41650843.7716
741,2017-07-11,41145883.9417
742,2017-07-12,30256255.5717
743,2017-07-13,19957908.676
744,2017-07-14,28326253.1148
745,2017-07-15,40927009.3695
746,2017-07-16,49010482.2342
747,2017-07-17,55057438.3526
748,2017-07-18,57683997.0658
749,2017-07-19,39248446.8642
750,2017-07-20,80388738.2266
751,2017-07-21,56456355.3376
752,2017-07-22,35805144.4115
753,2017-07-23,30310788.7443
754,2017-07-24,27562701.0217
755,2017-07-25,55120720.8961
756,2017-07-26,44091449.2061
757,2017-07-27,30470923.8633
758,2017-07-28,38675840.6215
759,2017-07-29,29159800.9549
760,2017-07-30,25848893.0751
761,2017-07-31,30777296.2133
762,2017-08-01,34322796.5568
763,2017-08-02,25701106.0977
764,2017-08-03,21938303.9976
765,2017-08-04,21650087.6398
766,2017-08-05,53861926.0262
767,2017-08-06,19412655.9685
768,2017-08-07,40225852.0019
769,2017-08-08,54054824.2542
770,2017-08-09,47356464.3976
771,2017-08-10,30658440.5086
772,2017-08-11,41888022.2556
773,2017-08-12,46799798.3995
774,2017-08-13,63672103.4491
775,2017-08-14,59836002.8147
776,2017-08-15,104651369.05399999
777,2017-08-16,54194325.8006
778,2017-08-17,63228604.1925
779,2017-08-18,73224029.243
780,2017-08-19,60604905.5767
781,2017-08-20,25289638.5965
782,2017-08-21,39203908.9572
783,2017-08-22,91600325.718
784,2017-08-23,62117291.5599
785,2017-08-24,45174068.6738
786,2017-08-25,42274063.3917
787,2017-08-26,28227915.2791
